sec,gate131,state135,mode,branch,phase,target_parity,target_wb,target_wc
130,640,24802,MANAGED,54,1,1,65025,7
131,640,24802,MANAGED,54,9,1,65025,7
132,640,24802,MANAGED,59,18,0,32777,32767
133,640,24802,MANAGED,54,27,1,65025,7
134,640,24802,MANAGED,54,33,1,65025,7
135,640,24802,MANAGED,54,41,1,65025,7
136,640,24802,MANAGED,54,51,1,65025,7
137,640,24802,MANAGED,59,56,0,32777,32767
138,640,24802,MANAGED,59,4,0,32777,32767
139,640,24802,MANAGED,54,9,1,65025,7
140,640,24802,MANAGED,59,16,0,32777,32767
141,656,16610,TRANSITION,54,25,1,65025,7
142,656,16610,TRANSITION,54,33,1,65025,7
143,656,16610,TRANSITION,54,39,1,65025,7
144,656,16610,TRANSITION,59,48,0,32777,32767
145,3584,16610,ACC_ARMED,59,56,0,32777,32767
146,3584,16610,ACC_ARMED,54,3,1,65025,7
147,3584,16610,ACC_ARMED,59,8,0,32777,32767
148,3584,16610,ACC_ARMED,54,17,1,65025,7
149,3584,16610,ACC_ARMED,59,26,0,32777,32767
150,3584,16610,ACC_ARMED,59,32,0,32777,32767
151,3584,16610,ACC_ARMED,59,40,0,32777,32767
152,3584,16610,ACC_ARMED,59,50,0,32777,32767
153,3584,16610,ACC_ARMED,59,58,0,32777,32767
154,3584,16610,ACC_ARMED,59,2,0,32777,32767
155,3584,16610,ACC_ARMED,54,7,1,65025,7
156,3584,16610,ACC_ARMED,59,18,0,32777,32767
157,3584,16610,ACC_ARMED,59,26,0,32777,32767
158,3584,16610,ACC_ARMED,54,31,1,65025,7
159,3584,16610,ACC_ARMED,54,41,1,65025,7
160,3584,16610,ACC_ARMED,54,51,1,65025,7
161,3584,16610,ACC_ARMED,54,59,1,65025,7
162,3584,16610,ACC_ARMED,59,2,0,32777,32767
